PrimaryDI|gmdnPTName|gmdnPTDefinition
00836462004146|Intravascular occluding balloon catheter, image-guided|A flexible tube with an inflatable balloon(s) at the distal end intended to be introduced short-term under image guidance to temporarily block a blood vessel. It may be used for arteriography, selective angiography, preoperative occlusion, peripheral and intracranial vasculature occlusion, emergency control of haemorrhage, to treat malformations (e.g., aneurysms), chemotherapeutic drug infusion, and renal opacification procedures. It may have a dual- or multi-lumen design, one for balloon inflation and another to pass it over a guidewire, or for the infusion of contrast medium, delivery of a smaller catheter, or embolic agents. This is a single-use device.
00836462004122|Intravascular occluding balloon catheter, image-guided|A flexible tube with an inflatable balloon(s) at the distal end intended to be introduced short-term under image guidance to temporarily block a blood vessel. It may be used for arteriography, selective angiography, preoperative occlusion, peripheral and intracranial vasculature occlusion, emergency control of haemorrhage, to treat malformations (e.g., aneurysms), chemotherapeutic drug infusion, and renal opacification procedures. It may have a dual- or multi-lumen design, one for balloon inflation and another to pass it over a guidewire, or for the infusion of contrast medium, delivery of a smaller catheter, or embolic agents. This is a single-use device.
00836462004559|Intravascular occluding balloon catheter, image-guided|A flexible tube with an inflatable balloon(s) at the distal end intended to be introduced short-term under image guidance to temporarily block a blood vessel. It may be used for arteriography, selective angiography, preoperative occlusion, peripheral and intracranial vasculature occlusion, emergency control of haemorrhage, to treat malformations (e.g., aneurysms), chemotherapeutic drug infusion, and renal opacification procedures. It may have a dual- or multi-lumen design, one for balloon inflation and another to pass it over a guidewire, or for the infusion of contrast medium, delivery of a smaller catheter, or embolic agents. This is a single-use device.
00836462004542|Intravascular occluding balloon catheter, image-guided|A flexible tube with an inflatable balloon(s) at the distal end intended to be introduced short-term under image guidance to temporarily block a blood vessel. It may be used for arteriography, selective angiography, preoperative occlusion, peripheral and intracranial vasculature occlusion, emergency control of haemorrhage, to treat malformations (e.g., aneurysms), chemotherapeutic drug infusion, and renal opacification procedures. It may have a dual- or multi-lumen design, one for balloon inflation and another to pass it over a guidewire, or for the infusion of contrast medium, delivery of a smaller catheter, or embolic agents. This is a single-use device.
00836462004481|Intravascular occluding balloon catheter, image-guided|A flexible tube with an inflatable balloon(s) at the distal end intended to be introduced short-term under image guidance to temporarily block a blood vessel. It may be used for arteriography, selective angiography, preoperative occlusion, peripheral and intracranial vasculature occlusion, emergency control of haemorrhage, to treat malformations (e.g., aneurysms), chemotherapeutic drug infusion, and renal opacification procedures. It may have a dual- or multi-lumen design, one for balloon inflation and another to pass it over a guidewire, or for the infusion of contrast medium, delivery of a smaller catheter, or embolic agents. This is a single-use device.
00836462004207|Intravascular occluding balloon catheter, image-guided|A flexible tube with an inflatable balloon(s) at the distal end intended to be introduced short-term under image guidance to temporarily block a blood vessel. It may be used for arteriography, selective angiography, preoperative occlusion, peripheral and intracranial vasculature occlusion, emergency control of haemorrhage, to treat malformations (e.g., aneurysms), chemotherapeutic drug infusion, and renal opacification procedures. It may have a dual- or multi-lumen design, one for balloon inflation and another to pass it over a guidewire, or for the infusion of contrast medium, delivery of a smaller catheter, or embolic agents. This is a single-use device.
00836462004115|Intravascular occluding balloon catheter, image-guided|A flexible tube with an inflatable balloon(s) at the distal end intended to be introduced short-term under image guidance to temporarily block a blood vessel. It may be used for arteriography, selective angiography, preoperative occlusion, peripheral and intracranial vasculature occlusion, emergency control of haemorrhage, to treat malformations (e.g., aneurysms), chemotherapeutic drug infusion, and renal opacification procedures. It may have a dual- or multi-lumen design, one for balloon inflation and another to pass it over a guidewire, or for the infusion of contrast medium, delivery of a smaller catheter, or embolic agents. This is a single-use device.
M781DFH80115901|Intravascular occluding balloon catheter, image-guided|A flexible tube with an inflatable balloon(s) at the distal end intended to be introduced short-term under image guidance to temporarily block a blood vessel. It may be used for arteriography, selective angiography, preoperative occlusion, peripheral and intracranial vasculature occlusion, emergency control of haemorrhage, to treat malformations (e.g., aneurysms), chemotherapeutic drug infusion, and renal opacification procedures. It may have a dual- or multi-lumen design, one for balloon inflation and another to pass it over a guidewire, or for the infusion of contrast medium, delivery of a smaller catheter, or embolic agents. This is a single-use device.
M781DFH80115801|Intravascular occluding balloon catheter, image-guided|A flexible tube with an inflatable balloon(s) at the distal end intended to be introduced short-term under image guidance to temporarily block a blood vessel. It may be used for arteriography, selective angiography, preoperative occlusion, peripheral and intracranial vasculature occlusion, emergency control of haemorrhage, to treat malformations (e.g., aneurysms), chemotherapeutic drug infusion, and renal opacification procedures. It may have a dual- or multi-lumen design, one for balloon inflation and another to pass it over a guidewire, or for the infusion of contrast medium, delivery of a smaller catheter, or embolic agents. This is a single-use device.
M781DFH60115901|Intravascular occluding balloon catheter, image-guided|A flexible tube with an inflatable balloon(s) at the distal end intended to be introduced short-term under image guidance to temporarily block a blood vessel. It may be used for arteriography, selective angiography, preoperative occlusion, peripheral and intracranial vasculature occlusion, emergency control of haemorrhage, to treat malformations (e.g., aneurysms), chemotherapeutic drug infusion, and renal opacification procedures. It may have a dual- or multi-lumen design, one for balloon inflation and another to pass it over a guidewire, or for the infusion of contrast medium, delivery of a smaller catheter, or embolic agents. This is a single-use device.
M781DFH60115801|Intravascular occluding balloon catheter, image-guided|A flexible tube with an inflatable balloon(s) at the distal end intended to be introduced short-term under image guidance to temporarily block a blood vessel. It may be used for arteriography, selective angiography, preoperative occlusion, peripheral and intracranial vasculature occlusion, emergency control of haemorrhage, to treat malformations (e.g., aneurysms), chemotherapeutic drug infusion, and renal opacification procedures. It may have a dual- or multi-lumen design, one for balloon inflation and another to pass it over a guidewire, or for the infusion of contrast medium, delivery of a smaller catheter, or embolic agents. This is a single-use device.
M781DFH10135901|Intravascular occluding balloon catheter, image-guided|A flexible tube with an inflatable balloon(s) at the distal end intended to be introduced short-term under image guidance to temporarily block a blood vessel. It may be used for arteriography, selective angiography, preoperative occlusion, peripheral and intracranial vasculature occlusion, emergency control of haemorrhage, to treat malformations (e.g., aneurysms), chemotherapeutic drug infusion, and renal opacification procedures. It may have a dual- or multi-lumen design, one for balloon inflation and another to pass it over a guidewire, or for the infusion of contrast medium, delivery of a smaller catheter, or embolic agents. This is a single-use device.
M781DFH10115901|Intravascular occluding balloon catheter, image-guided|A flexible tube with an inflatable balloon(s) at the distal end intended to be introduced short-term under image guidance to temporarily block a blood vessel. It may be used for arteriography, selective angiography, preoperative occlusion, peripheral and intracranial vasculature occlusion, emergency control of haemorrhage, to treat malformations (e.g., aneurysms), chemotherapeutic drug infusion, and renal opacification procedures. It may have a dual- or multi-lumen design, one for balloon inflation and another to pass it over a guidewire, or for the infusion of contrast medium, delivery of a smaller catheter, or embolic agents. This is a single-use device.
M781DFH10115801|Intravascular occluding balloon catheter, image-guided|A flexible tube with an inflatable balloon(s) at the distal end intended to be introduced short-term under image guidance to temporarily block a blood vessel. It may be used for arteriography, selective angiography, preoperative occlusion, peripheral and intracranial vasculature occlusion, emergency control of haemorrhage, to treat malformations (e.g., aneurysms), chemotherapeutic drug infusion, and renal opacification procedures. It may have a dual- or multi-lumen design, one for balloon inflation and another to pass it over a guidewire, or for the infusion of contrast medium, delivery of a smaller catheter, or embolic agents. This is a single-use device.
M781DF80115801|Intravascular occluding balloon catheter, image-guided|A flexible tube with an inflatable balloon(s) at the distal end intended to be introduced short-term under image guidance to temporarily block a blood vessel. It may be used for arteriography, selective angiography, preoperative occlusion, peripheral and intracranial vasculature occlusion, emergency control of haemorrhage, to treat malformations (e.g., aneurysms), chemotherapeutic drug infusion, and renal opacification procedures. It may have a dual- or multi-lumen design, one for balloon inflation and another to pass it over a guidewire, or for the infusion of contrast medium, delivery of a smaller catheter, or embolic agents. This is a single-use device.
M781DF60115801|Intravascular occluding balloon catheter, image-guided|A flexible tube with an inflatable balloon(s) at the distal end intended to be introduced short-term under image guidance to temporarily block a blood vessel. It may be used for arteriography, selective angiography, preoperative occlusion, peripheral and intracranial vasculature occlusion, emergency control of haemorrhage, to treat malformations (e.g., aneurysms), chemotherapeutic drug infusion, and renal opacification procedures. It may have a dual- or multi-lumen design, one for balloon inflation and another to pass it over a guidewire, or for the infusion of contrast medium, delivery of a smaller catheter, or embolic agents. This is a single-use device.
M781DF45115801|Intravascular occluding balloon catheter, image-guided|A flexible tube with an inflatable balloon(s) at the distal end intended to be introduced short-term under image guidance to temporarily block a blood vessel. It may be used for arteriography, selective angiography, preoperative occlusion, peripheral and intracranial vasculature occlusion, emergency control of haemorrhage, to treat malformations (e.g., aneurysms), chemotherapeutic drug infusion, and renal opacification procedures. It may have a dual- or multi-lumen design, one for balloon inflation and another to pass it over a guidewire, or for the infusion of contrast medium, delivery of a smaller catheter, or embolic agents. This is a single-use device.
M781DF10135901|Intravascular occluding balloon catheter, image-guided|A flexible tube with an inflatable balloon(s) at the distal end intended to be introduced short-term under image guidance to temporarily block a blood vessel. It may be used for arteriography, selective angiography, preoperative occlusion, peripheral and intracranial vasculature occlusion, emergency control of haemorrhage, to treat malformations (e.g., aneurysms), chemotherapeutic drug infusion, and renal opacification procedures. It may have a dual- or multi-lumen design, one for balloon inflation and another to pass it over a guidewire, or for the infusion of contrast medium, delivery of a smaller catheter, or embolic agents. This is a single-use device.
M781DF10115801|Intravascular occluding balloon catheter, image-guided|A flexible tube with an inflatable balloon(s) at the distal end intended to be introduced short-term under image guidance to temporarily block a blood vessel. It may be used for arteriography, selective angiography, preoperative occlusion, peripheral and intracranial vasculature occlusion, emergency control of haemorrhage, to treat malformations (e.g., aneurysms), chemotherapeutic drug infusion, and renal opacification procedures. It may have a dual- or multi-lumen design, one for balloon inflation and another to pass it over a guidewire, or for the infusion of contrast medium, delivery of a smaller catheter, or embolic agents. This is a single-use device.
M7819680801|Intravascular occluding balloon catheter, image-guided|A flexible tube with an inflatable balloon(s) at the distal end intended to be introduced short-term under image guidance to temporarily block a blood vessel. It may be used for arteriography, selective angiography, preoperative occlusion, peripheral and intracranial vasculature occlusion, emergency control of haemorrhage, to treat malformations (e.g., aneurysms), chemotherapeutic drug infusion, and renal opacification procedures. It may have a dual- or multi-lumen design, one for balloon inflation and another to pass it over a guidewire, or for the infusion of contrast medium, delivery of a smaller catheter, or embolic agents. This is a single-use device.
M7819660601|Intravascular occluding balloon catheter, image-guided|A flexible tube with an inflatable balloon(s) at the distal end intended to be introduced short-term under image guidance to temporarily block a blood vessel. It may be used for arteriography, selective angiography, preoperative occlusion, peripheral and intracranial vasculature occlusion, emergency control of haemorrhage, to treat malformations (e.g., aneurysms), chemotherapeutic drug infusion, and renal opacification procedures. It may have a dual- or multi-lumen design, one for balloon inflation and another to pass it over a guidewire, or for the infusion of contrast medium, delivery of a smaller catheter, or embolic agents. This is a single-use device.
M7819645251|Intravascular occluding balloon catheter, image-guided|A flexible tube with an inflatable balloon(s) at the distal end intended to be introduced short-term under image guidance to temporarily block a blood vessel. It may be used for arteriography, selective angiography, preoperative occlusion, peripheral and intracranial vasculature occlusion, emergency control of haemorrhage, to treat malformations (e.g., aneurysms), chemotherapeutic drug infusion, and renal opacification procedures. It may have a dual- or multi-lumen design, one for balloon inflation and another to pass it over a guidewire, or for the infusion of contrast medium, delivery of a smaller catheter, or embolic agents. This is a single-use device.
M7819610101|Intravascular occluding balloon catheter, image-guided|A flexible tube with an inflatable balloon(s) at the distal end intended to be introduced short-term under image guidance to temporarily block a blood vessel. It may be used for arteriography, selective angiography, preoperative occlusion, peripheral and intracranial vasculature occlusion, emergency control of haemorrhage, to treat malformations (e.g., aneurysms), chemotherapeutic drug infusion, and renal opacification procedures. It may have a dual- or multi-lumen design, one for balloon inflation and another to pass it over a guidewire, or for the infusion of contrast medium, delivery of a smaller catheter, or embolic agents. This is a single-use device.
M7819445451|Intravascular occluding balloon catheter, image-guided|A flexible tube with an inflatable balloon(s) at the distal end intended to be introduced short-term under image guidance to temporarily block a blood vessel. It may be used for arteriography, selective angiography, preoperative occlusion, peripheral and intracranial vasculature occlusion, emergency control of haemorrhage, to treat malformations (e.g., aneurysms), chemotherapeutic drug infusion, and renal opacification procedures. It may have a dual- or multi-lumen design, one for balloon inflation and another to pass it over a guidewire, or for the infusion of contrast medium, delivery of a smaller catheter, or embolic agents. This is a single-use device.
M7819280801|Intravascular occluding balloon catheter, image-guided|A flexible tube with an inflatable balloon(s) at the distal end intended to be introduced short-term under image guidance to temporarily block a blood vessel. It may be used for arteriography, selective angiography, preoperative occlusion, peripheral and intracranial vasculature occlusion, emergency control of haemorrhage, to treat malformations (e.g., aneurysms), chemotherapeutic drug infusion, and renal opacification procedures. It may have a dual- or multi-lumen design, one for balloon inflation and another to pass it over a guidewire, or for the infusion of contrast medium, delivery of a smaller catheter, or embolic agents. This is a single-use device.
M7819260601|Intravascular occluding balloon catheter, image-guided|A flexible tube with an inflatable balloon(s) at the distal end intended to be introduced short-term under image guidance to temporarily block a blood vessel. It may be used for arteriography, selective angiography, preoperative occlusion, peripheral and intracranial vasculature occlusion, emergency control of haemorrhage, to treat malformations (e.g., aneurysms), chemotherapeutic drug infusion, and renal opacification procedures. It may have a dual- or multi-lumen design, one for balloon inflation and another to pass it over a guidewire, or for the infusion of contrast medium, delivery of a smaller catheter, or embolic agents. This is a single-use device.
M7819260251|Intravascular occluding balloon catheter, image-guided|A flexible tube with an inflatable balloon(s) at the distal end intended to be introduced short-term under image guidance to temporarily block a blood vessel. It may be used for arteriography, selective angiography, preoperative occlusion, peripheral and intracranial vasculature occlusion, emergency control of haemorrhage, to treat malformations (e.g., aneurysms), chemotherapeutic drug infusion, and renal opacification procedures. It may have a dual- or multi-lumen design, one for balloon inflation and another to pass it over a guidewire, or for the infusion of contrast medium, delivery of a smaller catheter, or embolic agents. This is a single-use device.
M7819245451|Intravascular occluding balloon catheter, image-guided|A flexible tube with an inflatable balloon(s) at the distal end intended to be introduced short-term under image guidance to temporarily block a blood vessel. It may be used for arteriography, selective angiography, preoperative occlusion, peripheral and intracranial vasculature occlusion, emergency control of haemorrhage, to treat malformations (e.g., aneurysms), chemotherapeutic drug infusion, and renal opacification procedures. It may have a dual- or multi-lumen design, one for balloon inflation and another to pass it over a guidewire, or for the infusion of contrast medium, delivery of a smaller catheter, or embolic agents. This is a single-use device.
M7819245251|Intravascular occluding balloon catheter, image-guided|A flexible tube with an inflatable balloon(s) at the distal end intended to be introduced short-term under image guidance to temporarily block a blood vessel. It may be used for arteriography, selective angiography, preoperative occlusion, peripheral and intracranial vasculature occlusion, emergency control of haemorrhage, to treat malformations (e.g., aneurysms), chemotherapeutic drug infusion, and renal opacification procedures. It may have a dual- or multi-lumen design, one for balloon inflation and another to pass it over a guidewire, or for the infusion of contrast medium, delivery of a smaller catheter, or embolic agents. This is a single-use device.
M7819210101|Intravascular occluding balloon catheter, image-guided|A flexible tube with an inflatable balloon(s) at the distal end intended to be introduced short-term under image guidance to temporarily block a blood vessel. It may be used for arteriography, selective angiography, preoperative occlusion, peripheral and intracranial vasculature occlusion, emergency control of haemorrhage, to treat malformations (e.g., aneurysms), chemotherapeutic drug infusion, and renal opacification procedures. It may have a dual- or multi-lumen design, one for balloon inflation and another to pass it over a guidewire, or for the infusion of contrast medium, delivery of a smaller catheter, or embolic agents. This is a single-use device.
M7819180801|Intravascular occluding balloon catheter, image-guided|A flexible tube with an inflatable balloon(s) at the distal end intended to be introduced short-term under image guidance to temporarily block a blood vessel. It may be used for arteriography, selective angiography, preoperative occlusion, peripheral and intracranial vasculature occlusion, emergency control of haemorrhage, to treat malformations (e.g., aneurysms), chemotherapeutic drug infusion, and renal opacification procedures. It may have a dual- or multi-lumen design, one for balloon inflation and another to pass it over a guidewire, or for the infusion of contrast medium, delivery of a smaller catheter, or embolic agents. This is a single-use device.
M7819180601|Intravascular occluding balloon catheter, image-guided|A flexible tube with an inflatable balloon(s) at the distal end intended to be introduced short-term under image guidance to temporarily block a blood vessel. It may be used for arteriography, selective angiography, preoperative occlusion, peripheral and intracranial vasculature occlusion, emergency control of haemorrhage, to treat malformations (e.g., aneurysms), chemotherapeutic drug infusion, and renal opacification procedures. It may have a dual- or multi-lumen design, one for balloon inflation and another to pass it over a guidewire, or for the infusion of contrast medium, delivery of a smaller catheter, or embolic agents. This is a single-use device.
M7819180451|Intravascular occluding balloon catheter, image-guided|A flexible tube with an inflatable balloon(s) at the distal end intended to be introduced short-term under image guidance to temporarily block a blood vessel. It may be used for arteriography, selective angiography, preoperative occlusion, peripheral and intracranial vasculature occlusion, emergency control of haemorrhage, to treat malformations (e.g., aneurysms), chemotherapeutic drug infusion, and renal opacification procedures. It may have a dual- or multi-lumen design, one for balloon inflation and another to pass it over a guidewire, or for the infusion of contrast medium, delivery of a smaller catheter, or embolic agents. This is a single-use device.
M7819180251|Intravascular occluding balloon catheter, image-guided|A flexible tube with an inflatable balloon(s) at the distal end intended to be introduced short-term under image guidance to temporarily block a blood vessel. It may be used for arteriography, selective angiography, preoperative occlusion, peripheral and intracranial vasculature occlusion, emergency control of haemorrhage, to treat malformations (e.g., aneurysms), chemotherapeutic drug infusion, and renal opacification procedures. It may have a dual- or multi-lumen design, one for balloon inflation and another to pass it over a guidewire, or for the infusion of contrast medium, delivery of a smaller catheter, or embolic agents. This is a single-use device.
M7819160601|Intravascular occluding balloon catheter, image-guided|A flexible tube with an inflatable balloon(s) at the distal end intended to be introduced short-term under image guidance to temporarily block a blood vessel. It may be used for arteriography, selective angiography, preoperative occlusion, peripheral and intracranial vasculature occlusion, emergency control of haemorrhage, to treat malformations (e.g., aneurysms), chemotherapeutic drug infusion, and renal opacification procedures. It may have a dual- or multi-lumen design, one for balloon inflation and another to pass it over a guidewire, or for the infusion of contrast medium, delivery of a smaller catheter, or embolic agents. This is a single-use device.
M7819160451|Intravascular occluding balloon catheter, image-guided|A flexible tube with an inflatable balloon(s) at the distal end intended to be introduced short-term under image guidance to temporarily block a blood vessel. It may be used for arteriography, selective angiography, preoperative occlusion, peripheral and intracranial vasculature occlusion, emergency control of haemorrhage, to treat malformations (e.g., aneurysms), chemotherapeutic drug infusion, and renal opacification procedures. It may have a dual- or multi-lumen design, one for balloon inflation and another to pass it over a guidewire, or for the infusion of contrast medium, delivery of a smaller catheter, or embolic agents. This is a single-use device.
M7819160251|Intravascular occluding balloon catheter, image-guided|A flexible tube with an inflatable balloon(s) at the distal end intended to be introduced short-term under image guidance to temporarily block a blood vessel. It may be used for arteriography, selective angiography, preoperative occlusion, peripheral and intracranial vasculature occlusion, emergency control of haemorrhage, to treat malformations (e.g., aneurysms), chemotherapeutic drug infusion, and renal opacification procedures. It may have a dual- or multi-lumen design, one for balloon inflation and another to pass it over a guidewire, or for the infusion of contrast medium, delivery of a smaller catheter, or embolic agents. This is a single-use device.
M7819145451|Intravascular occluding balloon catheter, image-guided|A flexible tube with an inflatable balloon(s) at the distal end intended to be introduced short-term under image guidance to temporarily block a blood vessel. It may be used for arteriography, selective angiography, preoperative occlusion, peripheral and intracranial vasculature occlusion, emergency control of haemorrhage, to treat malformations (e.g., aneurysms), chemotherapeutic drug infusion, and renal opacification procedures. It may have a dual- or multi-lumen design, one for balloon inflation and another to pass it over a guidewire, or for the infusion of contrast medium, delivery of a smaller catheter, or embolic agents. This is a single-use device.
M7819145251|Intravascular occluding balloon catheter, image-guided|A flexible tube with an inflatable balloon(s) at the distal end intended to be introduced short-term under image guidance to temporarily block a blood vessel. It may be used for arteriography, selective angiography, preoperative occlusion, peripheral and intracranial vasculature occlusion, emergency control of haemorrhage, to treat malformations (e.g., aneurysms), chemotherapeutic drug infusion, and renal opacification procedures. It may have a dual- or multi-lumen design, one for balloon inflation and another to pass it over a guidewire, or for the infusion of contrast medium, delivery of a smaller catheter, or embolic agents. This is a single-use device.
M7819110801|Intravascular occluding balloon catheter, image-guided|A flexible tube with an inflatable balloon(s) at the distal end intended to be introduced short-term under image guidance to temporarily block a blood vessel. It may be used for arteriography, selective angiography, preoperative occlusion, peripheral and intracranial vasculature occlusion, emergency control of haemorrhage, to treat malformations (e.g., aneurysms), chemotherapeutic drug infusion, and renal opacification procedures. It may have a dual- or multi-lumen design, one for balloon inflation and another to pass it over a guidewire, or for the infusion of contrast medium, delivery of a smaller catheter, or embolic agents. This is a single-use device.
M7819110601|Intravascular occluding balloon catheter, image-guided|A flexible tube with an inflatable balloon(s) at the distal end intended to be introduced short-term under image guidance to temporarily block a blood vessel. It may be used for arteriography, selective angiography, preoperative occlusion, peripheral and intracranial vasculature occlusion, emergency control of haemorrhage, to treat malformations (e.g., aneurysms), chemotherapeutic drug infusion, and renal opacification procedures. It may have a dual- or multi-lumen design, one for balloon inflation and another to pass it over a guidewire, or for the infusion of contrast medium, delivery of a smaller catheter, or embolic agents. This is a single-use device.
M7819110451|Intravascular occluding balloon catheter, image-guided|A flexible tube with an inflatable balloon(s) at the distal end intended to be introduced short-term under image guidance to temporarily block a blood vessel. It may be used for arteriography, selective angiography, preoperative occlusion, peripheral and intracranial vasculature occlusion, emergency control of haemorrhage, to treat malformations (e.g., aneurysms), chemotherapeutic drug infusion, and renal opacification procedures. It may have a dual- or multi-lumen design, one for balloon inflation and another to pass it over a guidewire, or for the infusion of contrast medium, delivery of a smaller catheter, or embolic agents. This is a single-use device.
M78110480801|Intravascular occluding balloon catheter, image-guided|A flexible tube with an inflatable balloon(s) at the distal end intended to be introduced short-term under image guidance to temporarily block a blood vessel. It may be used for arteriography, selective angiography, preoperative occlusion, peripheral and intracranial vasculature occlusion, emergency control of haemorrhage, to treat malformations (e.g., aneurysms), chemotherapeutic drug infusion, and renal opacification procedures. It may have a dual- or multi-lumen design, one for balloon inflation and another to pass it over a guidewire, or for the infusion of contrast medium, delivery of a smaller catheter, or embolic agents. This is a single-use device.
M78110460601|Intravascular occluding balloon catheter, image-guided|A flexible tube with an inflatable balloon(s) at the distal end intended to be introduced short-term under image guidance to temporarily block a blood vessel. It may be used for arteriography, selective angiography, preoperative occlusion, peripheral and intracranial vasculature occlusion, emergency control of haemorrhage, to treat malformations (e.g., aneurysms), chemotherapeutic drug infusion, and renal opacification procedures. It may have a dual- or multi-lumen design, one for balloon inflation and another to pass it over a guidewire, or for the infusion of contrast medium, delivery of a smaller catheter, or embolic agents. This is a single-use device.
M78110445451|Intravascular occluding balloon catheter, image-guided|A flexible tube with an inflatable balloon(s) at the distal end intended to be introduced short-term under image guidance to temporarily block a blood vessel. It may be used for arteriography, selective angiography, preoperative occlusion, peripheral and intracranial vasculature occlusion, emergency control of haemorrhage, to treat malformations (e.g., aneurysms), chemotherapeutic drug infusion, and renal opacification procedures. It may have a dual- or multi-lumen design, one for balloon inflation and another to pass it over a guidewire, or for the infusion of contrast medium, delivery of a smaller catheter, or embolic agents. This is a single-use device.
