PrimaryDI|productCode|productCodeName
10887714025232|MJN|Catheter, Intravascular Occluding, Temporary
10887714025225|MJN|Catheter, Intravascular Occluding, Temporary
10887714025218|MJN|Catheter, Intravascular Occluding, Temporary
10887714025201|MJN|Catheter, Intravascular Occluding, Temporary
10887714025195|MJN|Catheter, Intravascular Occluding, Temporary
10887714025188|MJN|Catheter, Intravascular Occluding, Temporary
10887714025171|MJN|Catheter, Intravascular Occluding, Temporary
10887714025164|MJN|Catheter, Intravascular Occluding, Temporary
10887714025157|MJN|Catheter, Intravascular Occluding, Temporary
10887714025140|MJN|Catheter, Intravascular Occluding, Temporary
10887714025133|MJN|Catheter, Intravascular Occluding, Temporary
10887714025126|MJN|Catheter, Intravascular Occluding, Temporary
10887714025119|MJN|Catheter, Intravascular Occluding, Temporary
10887714025102|MJN|Catheter, Intravascular Occluding, Temporary
10887714025096|MJN|Catheter, Intravascular Occluding, Temporary
10887714025089|MJN|Catheter, Intravascular Occluding, Temporary
10887714025072|MJN|Catheter, Intravascular Occluding, Temporary
10887714025065|MJN|Catheter, Intravascular Occluding, Temporary
10887714025058|MJN|Catheter, Intravascular Occluding, Temporary
10887714025041|MJN|Catheter, Intravascular Occluding, Temporary
10887714025034|MJN|Catheter, Intravascular Occluding, Temporary
10887714025027|MJN|Catheter, Intravascular Occluding, Temporary
10887714025010|MJN|Catheter, Intravascular Occluding, Temporary
10887714025003|MJN|Catheter, Intravascular Occluding, Temporary
10887714024990|MJN|Catheter, Intravascular Occluding, Temporary
10887714024983|MJN|Catheter, Intravascular Occluding, Temporary
10887714024976|MJN|Catheter, Intravascular Occluding, Temporary
10887714024969|MJN|Catheter, Intravascular Occluding, Temporary
10887714024952|MJN|Catheter, Intravascular Occluding, Temporary
10887714024945|MJN|Catheter, Intravascular Occluding, Temporary
10887714024938|MJN|Catheter, Intravascular Occluding, Temporary
10887714024921|MJN|Catheter, Intravascular Occluding, Temporary
10887714024914|MJN|Catheter, Intravascular Occluding, Temporary
10887714024907|MJN|Catheter, Intravascular Occluding, Temporary
10887714024891|MJN|Catheter, Intravascular Occluding, Temporary
10887714024884|MJN|Catheter, Intravascular Occluding, Temporary
10887714024877|MJN|Catheter, Intravascular Occluding, Temporary
10887714024860|MJN|Catheter, Intravascular Occluding, Temporary
10887714024853|MJN|Catheter, Intravascular Occluding, Temporary
10887714024846|MJN|Catheter, Intravascular Occluding, Temporary
10887714024839|MJN|Catheter, Intravascular Occluding, Temporary
10887714024822|MJN|Catheter, Intravascular Occluding, Temporary
10887714024815|MJN|Catheter, Intravascular Occluding, Temporary
10887714024808|MJN|Catheter, Intravascular Occluding, Temporary
10887714024792|MJN|Catheter, Intravascular Occluding, Temporary
10887714024785|MJN|Catheter, Intravascular Occluding, Temporary
10887714024778|MJN|Catheter, Intravascular Occluding, Temporary
10887714024761|MJN|Catheter, Intravascular Occluding, Temporary
10887714024754|MJN|Catheter, Intravascular Occluding, Temporary
10887714024747|MJN|Catheter, Intravascular Occluding, Temporary
10887714024730|MJN|Catheter, Intravascular Occluding, Temporary
10887714024723|MJN|Catheter, Intravascular Occluding, Temporary
10887714024716|MJN|Catheter, Intravascular Occluding, Temporary
10887714024709|MJN|Catheter, Intravascular Occluding, Temporary
10887714024693|MJN|Catheter, Intravascular Occluding, Temporary
10887714024686|MJN|Catheter, Intravascular Occluding, Temporary
10887714024679|MJN|Catheter, Intravascular Occluding, Temporary
10887714024662|MJN|Catheter, Intravascular Occluding, Temporary
10887714024655|MJN|Catheter, Intravascular Occluding, Temporary
10887714024648|MJN|Catheter, Intravascular Occluding, Temporary
10887714024631|MJN|Catheter, Intravascular Occluding, Temporary
10887714024624|MJN|Catheter, Intravascular Occluding, Temporary
10887714024617|MJN|Catheter, Intravascular Occluding, Temporary
10887714024600|MJN|Catheter, Intravascular Occluding, Temporary
10887714024594|MJN|Catheter, Intravascular Occluding, Temporary
10887714024587|MJN|Catheter, Intravascular Occluding, Temporary
10887714024570|MJN|Catheter, Intravascular Occluding, Temporary
10887714024563|MJN|Catheter, Intravascular Occluding, Temporary
10887714024556|MJN|Catheter, Intravascular Occluding, Temporary
10887714024549|MJN|Catheter, Intravascular Occluding, Temporary
00811806011530|MJN|Catheter, intravascular occluding, temporary
00811806011523|MJN|Catheter, intravascular occluding, temporary
00811806011516|MJN|Catheter, intravascular occluding, temporary
M465ACX10106|MJN|Catheter, Intravascular Occluding, Temporary
08714729402428|MJN|Catheter, intravascular occluding, temporary
08714729402404|MJN|Catheter, intravascular occluding, temporary
08714729402381|MJN|Catheter, intravascular occluding, temporary
08714729402367|MJN|Catheter, intravascular occluding, temporary
08714729402350|MJN|Catheter, intravascular occluding, temporary
00849111030014|MJN|Catheter, Intravascular Occluding, Temporary
B380T39F150|MJN|Catheter, Intravascular Occluding, Temporary
B380T38F150|MJN|Catheter, Intravascular Occluding, Temporary
B380T311F300|MJN|Catheter, Intravascular Occluding, Temporary
B380NL9IRR30D0|MJN|Catheter, Intravascular Occluding, Temporary
B380NL12IRR30D0|MJN|Catheter, Intravascular Occluding, Temporary
B3809FCESB150|MJN|Catheter, Intravascular Occluding, Temporary
B3809FCES150|MJN|Catheter, Intravascular Occluding, Temporary
B3809FCBS4004020|MJN|Catheter, Intravascular Occluding, Temporary
B3809FCBS4004010|MJN|Catheter, Intravascular Occluding, Temporary
B3809FCBS1001020|MJN|Catheter, Intravascular Occluding, Temporary
B3809FCBS1001010|MJN|Catheter, Intravascular Occluding, Temporary
B3808FCESB300|MJN|Catheter, Intravascular Occluding, Temporary
B3808FCESB150|MJN|Catheter, Intravascular Occluding, Temporary
B3808FCES300|MJN|Catheter, Intravascular Occluding, Temporary
B3808FCES150|MJN|Catheter, Intravascular Occluding, Temporary
B3808FCBS4004020|MJN|Catheter, Intravascular Occluding, Temporary
B3808FCBS4004010|MJN|Catheter, Intravascular Occluding, Temporary
B3808FCBS1001020|MJN|Catheter, Intravascular Occluding, Temporary
B3808FCBS1001010|MJN|Catheter, Intravascular Occluding, Temporary
B3807FIRR080P0|MJN|Catheter, Intravascular Occluding, Temporary
B3807FIRR080D0|MJN|Catheter, Intravascular Occluding, Temporary
B3807FIRR040P0|MJN|Catheter, Intravascular Occluding, Temporary
B3806FIRR080P0|MJN|Catheter, Intravascular Occluding, Temporary
B3806FIRR080D0|MJN|Catheter, Intravascular Occluding, Temporary
B3806FIRR040P0|MJN|Catheter, Intravascular Occluding, Temporary
B3806FIRR040D0|MJN|Catheter, Intravascular Occluding, Temporary
B3805FIRR040D0|MJN|Catheter, Intravascular Occluding, Temporary
B3804FIRR080P0|MJN|Catheter, Intravascular Occluding, Temporary
B3804FIRR080D0|MJN|Catheter, Intravascular Occluding, Temporary
B3804FIRR040P0|MJN|Catheter, Intravascular Occluding, Temporary
B3804FIRR040D0|MJN|Catheter, Intravascular Occluding, Temporary
B38012FCBS4004020|MJN|Catheter, Intravascular Occluding, Temporary
B38011FCBS1001020|MJN|Catheter, Intravascular Occluding, Temporary
B38011FCBS1001010|MJN|Catheter, Intravascular Occluding, Temporary
B38010FCESB300|MJN|Catheter, Intravascular Occluding, Temporary
B38010FCESB150|MJN|Catheter, Intravascular Occluding, Temporary
B38010FCES300|MJN|Catheter, Intravascular Occluding, Temporary
B38010FCES150|MJN|Catheter, Intravascular Occluding, Temporary
B38010FCBS4004020|MJN|Catheter, Intravascular Occluding, Temporary
B38010FCBS4004010|MJN|Catheter, Intravascular Occluding, Temporary
B38010FCBS1001020|MJN|Catheter, Intravascular Occluding, Temporary
B38010FCBS1001010|MJN|Catheter, Intravascular Occluding, Temporary
20763000293424|MJN|Catheter, intravascular occluding, temporary
00853892004126|MJN|Catheter, Intravascular Occluding, Temporary
00853892004119|MJN|Catheter, Intravascular Occluding, Temporary
00853892004065|MJN|Catheter, Intravascular Occluding, Temporary
00853359008414|MJN|Catheter, Intravascular Occluding, Temporary
00853359008087|MJN|Catheter, Intravascular Occluding, Temporary
00853359008070|MJN|Catheter, Intravascular Occluding, Temporary
00853359008063|MJN|Catheter, Intravascular Occluding, Temporary
00853359008056|MJN|Catheter, Intravascular Occluding, Temporary
00853359008049|MJN|Catheter, Intravascular Occluding, Temporary
00853359008032|MJN|Catheter, Intravascular Occluding, Temporary
00853359008025|MJN|Catheter, Intravascular Occluding, Temporary
00853359008018|MJN|Catheter, Intravascular Occluding, Temporary
00853359008001|MJN|Catheter, Intravascular Occluding, Temporary
00733132639489|MJN|Catheter, Intravascular Occluding, Temporary
08714729112495|MJN|Catheter, intravascular occluding, temporary
08714729112396|MJN|Catheter, intravascular occluding, temporary
08714729112389|MJN|Catheter, intravascular occluding, temporary
00813132024840|MJN|Catheter, Intravascular Occluding, Temporary
00813132024666|MJN|Catheter, Intravascular Occluding, Temporary
00813132023263|MJN|Catheter, Intravascular Occluding, Temporary
00763000294595|MJN|Catheter, intravascular occluding, temporary
00763000294564|MJN|Catheter, intravascular occluding, temporary
00763000294533|MJN|Catheter, intravascular occluding, temporary
00763000294502|MJN|Catheter, intravascular occluding, temporary
00763000294472|MJN|Catheter, intravascular occluding, temporary
00763000294441|MJN|Catheter, intravascular occluding, temporary
00763000294410|MJN|Catheter, intravascular occluding, temporary
00763000294380|MJN|Catheter, intravascular occluding, temporary
00763000294359|MJN|Catheter, intravascular occluding, temporary
00763000294328|MJN|Catheter, intravascular occluding, temporary
00763000294298|MJN|Catheter, intravascular occluding, temporary
00763000294267|MJN|Catheter, intravascular occluding, temporary
00763000294236|MJN|Catheter, intravascular occluding, temporary
00763000294205|MJN|Catheter, intravascular occluding, temporary
00763000294175|MJN|Catheter, intravascular occluding, temporary
00763000294144|MJN|Catheter, intravascular occluding, temporary
07613327004526|MJN|Catheter, intravascular occluding, temporary
07613327004496|MJN|Catheter, intravascular occluding, temporary
07613327004472|MJN|Catheter, intravascular occluding, temporary
07613327004465|MJN|Catheter, intravascular occluding, temporary
07613327004441|MJN|Catheter, intravascular occluding, temporary
07613327004434|MJN|Catheter, intravascular occluding, temporary
07613327004427|MJN|Catheter, intravascular occluding, temporary
08714729402411|MJN|Catheter, intravascular occluding, temporary
08714729402398|MJN|Catheter, intravascular occluding, temporary
08714729402374|MJN|Catheter, intravascular occluding, temporary
00690103043754|MJN|Catheter, intravascular occluding, temporary
00690103043747|MJN|Catheter, intravascular occluding, temporary
00690103043730|MJN|Catheter, intravascular occluding, temporary
00690103043723|MJN|Catheter, intravascular occluding, temporary
00690103043716|MJN|Catheter, intravascular occluding, temporary
00878528001935|MJN|Catheter, intravascular occluding, temporary
00878528001928|MJN|Catheter, intravascular occluding, temporary
00878528001911|MJN|Catheter, intravascular occluding, temporary
00878528001904|MJN|Catheter, intravascular occluding, temporary
00860005855124|MJN|Catheter, Intravascular Occluding, Temporary
00860005855100|MJN|Catheter, Intravascular Occluding, Temporary
07613327004717|MJN|Catheter, intravascular occluding, temporary
07613327004700|MJN|Catheter, intravascular occluding, temporary
07613327004694|MJN|Catheter, intravascular occluding, temporary
07613327004687|MJN|Catheter, intravascular occluding, temporary
07613327004519|MJN|Catheter, intravascular occluding, temporary
07613327004502|MJN|Catheter, intravascular occluding, temporary
07613327004489|MJN|Catheter, intravascular occluding, temporary
07613327004458|MJN|Catheter, intravascular occluding, temporary
07613327004410|MJN|Catheter, intravascular occluding, temporary
00851994005003|MJN|Catheter, Intravascular Occluding, Temporary
B380T39F300|MJN|Catheter, Intravascular Occluding, Temporary
B380T38F300|MJN|Catheter, Intravascular Occluding, Temporary
B380T311F150|MJN|Catheter, Intravascular Occluding, Temporary
B3809FCESB300|MJN|Catheter, Intravascular Occluding, Temporary
B3809FCES300|MJN|Catheter, Intravascular Occluding, Temporary
B3807FIRR040D0|MJN|Catheter, Intravascular Occluding, Temporary
B3805FIRR080P0|MJN|Catheter, Intravascular Occluding, Temporary
B3805FIRR080D0|MJN|Catheter, Intravascular Occluding, Temporary
B3805FIRR040P0|MJN|Catheter, Intravascular Occluding, Temporary
B38012FCESB300|MJN|Catheter, Intravascular Occluding, Temporary
B38012FCESB150|MJN|Catheter, Intravascular Occluding, Temporary
B38012FCES300|MJN|Catheter, Intravascular Occluding, Temporary
B38012FCES150|MJN|Catheter, Intravascular Occluding, Temporary
B38012FCBS4004010|MJN|Catheter, Intravascular Occluding, Temporary
B38012FCBS1001020|MJN|Catheter, Intravascular Occluding, Temporary
B38012FCBS1001010|MJN|Catheter, Intravascular Occluding, Temporary
B38011FCESB300|MJN|Catheter, Intravascular Occluding, Temporary
B38011FCESB150|MJN|Catheter, Intravascular Occluding, Temporary
B38011FCES300|MJN|Catheter, Intravascular Occluding, Temporary
B38011FCES150|MJN|Catheter, Intravascular Occluding, Temporary
B38011FCBS4004020|MJN|Catheter, Intravascular Occluding, Temporary
B38011FCBS4004010|MJN|Catheter, Intravascular Occluding, Temporary
B323SA00900|MJN|Catheter, Intravascular Occluding, Temporary
00847536005853|MJN|Catheter, intravascular occluding, temporary
00847536005822|MJN|Catheter, intravascular occluding, temporary
00847536005792|MJN|Catheter, intravascular occluding, temporary
00847536005761|MJN|Catheter, intravascular occluding, temporary
00847536005730|MJN|Catheter, intravascular occluding, temporary
00847536005709|MJN|Catheter, intravascular occluding, temporary
00847536005679|MJN|Catheter, intravascular occluding, temporary
00847536005648|MJN|Catheter, intravascular occluding, temporary
00847536005617|MJN|Catheter, intravascular occluding, temporary
00847536005587|MJN|Catheter, intravascular occluding, temporary
00847536005549|MJN|Catheter, intravascular occluding, temporary
00847536005501|MJN|Catheter, intravascular occluding, temporary
00847536005471|MJN|Catheter, intravascular occluding, temporary
00847536005419|MJN|Catheter, intravascular occluding, temporary
00847536005358|MJN|Catheter, intravascular occluding, temporary
00847536005327|MJN|Catheter, intravascular occluding, temporary
00847536005297|MJN|Catheter, intravascular occluding, temporary
00847536005266|MJN|Catheter, intravascular occluding, temporary
00847536005235|MJN|Catheter, intravascular occluding, temporary
00847536005204|MJN|Catheter, intravascular occluding, temporary
00847536005174|MJN|Catheter, intravascular occluding, temporary
00847536005143|MJN|Catheter, intravascular occluding, temporary
00847536005105|MJN|Catheter, intravascular occluding, temporary
00847536005075|MJN|Catheter, intravascular occluding, temporary
00847536005020|MJN|Catheter, intravascular occluding, temporary
00847536004986|MJN|Catheter, intravascular occluding, temporary
00847536004948|MJN|Catheter, intravascular occluding, temporary
00847536004863|MJN|Catheter, intravascular occluding, temporary
04046964512155|MJN|Catheter, intravascular occluding, temporary
04046964512131|MJN|Catheter, intravascular occluding, temporary
04046964512094|MJN|Catheter, intravascular occluding, temporary
04046964512056|MJN|Catheter, intravascular occluding, temporary
04046964511967|MJN|Catheter, intravascular occluding, temporary
04046955677405|MJN|Catheter, intravascular occluding, temporary
04046955677382|MJN|Catheter, intravascular occluding, temporary
04046955677368|MJN|Catheter, intravascular occluding, temporary
04046955677344|MJN|Catheter, intravascular occluding, temporary
04046955677320|MJN|Catheter, intravascular occluding, temporary
04046955677306|MJN|Catheter, intravascular occluding, temporary
04046955677283|MJN|Catheter, intravascular occluding, temporary
04046955677269|MJN|Catheter, intravascular occluding, temporary
04046955677245|MJN|Catheter, intravascular occluding, temporary
04046955677221|MJN|Catheter, intravascular occluding, temporary
16286780610023|MJN|Catheter, Intravascular Occluding, Temporary
16286780610016|MJN|Catheter, Intravascular Occluding, Temporary
16286780610009|MJN|Catheter, Intravascular Occluding, Temporary
04046964512186|MJN|Catheter, intravascular occluding, temporary
04046964512179|MJN|Catheter, intravascular occluding, temporary
04046964512162|MJN|Catheter, intravascular occluding, temporary
04046964512148|MJN|Catheter, intravascular occluding, temporary
04046964512124|MJN|Catheter, intravascular occluding, temporary
04046964512117|MJN|Catheter, intravascular occluding, temporary
04046964512100|MJN|Catheter, intravascular occluding, temporary
04046964512087|MJN|Catheter, intravascular occluding, temporary
04046964512070|MJN|Catheter, intravascular occluding, temporary
04046964512063|MJN|Catheter, intravascular occluding, temporary
04046964512049|MJN|Catheter, intravascular occluding, temporary
04046964512032|MJN|Catheter, intravascular occluding, temporary
04046964512025|MJN|Catheter, intravascular occluding, temporary
04046964512018|MJN|Catheter, intravascular occluding, temporary
04046964512001|MJN|Catheter, intravascular occluding, temporary
04046964511998|MJN|Catheter, intravascular occluding, temporary
04046964511981|MJN|Catheter, intravascular occluding, temporary
04046964511974|MJN|Catheter, intravascular occluding, temporary
04046964311055|MJN|Catheter, intravascular occluding, temporary
04046964311031|MJN|Catheter, intravascular occluding, temporary
04046964311017|MJN|Catheter, intravascular occluding, temporary
04046964310997|MJN|Catheter, intravascular occluding, temporary
04046964310973|MJN|Catheter, intravascular occluding, temporary
04046964310959|MJN|Catheter, intravascular occluding, temporary
04046964310935|MJN|Catheter, intravascular occluding, temporary
04046964310911|MJN|Catheter, intravascular occluding, temporary
00840663101429|MJN|Catheter, Intravascular Occluding, Temporary
00840663101405|MJN|Catheter, Intravascular Occluding, Temporary
00840663101382|MJN|Catheter, Intravascular Occluding, Temporary
00840663101368|MJN|Catheter, Intravascular Occluding, Temporary
00840663101320|MJN|Catheter, Intravascular Occluding, Temporary
00840663101306|MJN|Catheter, Intravascular Occluding, Temporary
00840663101214|MJN|Catheter, Intravascular Occluding, Temporary
00840663101207|MJN|Catheter, Intravascular Occluding, Temporary
00840663101191|MJN|Catheter, Intravascular Occluding, Temporary
00840663101665|MJN|Catheter, Intravascular Occluding, Temporary
00840663101658|MJN|Catheter, Intravascular Occluding, Temporary
00840663101641|MJN|Catheter, Intravascular Occluding, Temporary
00840663101634|MJN|Catheter, Intravascular Occluding, Temporary
00840663101344|MJN|Catheter, Intravascular Occluding, Temporary
00840663101313|MJN|Catheter, Intravascular Occluding, Temporary
00840663101290|MJN|Catheter, Intravascular Occluding, Temporary
00840663101283|MJN|Catheter, Intravascular Occluding, Temporary
00840663101276|MJN|Catheter, Intravascular Occluding, Temporary
00840663101269|MJN|Catheter, Intravascular Occluding, Temporary
00840663101252|MJN|Catheter, Intravascular Occluding, Temporary
00840663101245|MJN|Catheter, Intravascular Occluding, Temporary
00840663101238|MJN|Catheter, Intravascular Occluding, Temporary
00840663101221|MJN|Catheter, Intravascular Occluding, Temporary
00818053023002|DQY|Catheter, Percutaneous
00818053023002|MJN|Catheter, Intravascular Occluding, Temporary
00818053022982|MJN|Catheter, Intravascular Occluding, Temporary
00818053022982|DQY|Catheter, Percutaneous
00818053022968|DQY|Catheter, Percutaneous
00818053022968|MJN|Catheter, Intravascular Occluding, Temporary
00818053022944|MJN|Catheter, Intravascular Occluding, Temporary
00818053022944|DQY|Catheter, Percutaneous
00818053022937|MJN|Catheter, Intravascular Occluding, Temporary
00818053022937|DQY|Catheter, Percutaneous
00818053022920|DQY|Catheter, Percutaneous
00818053022920|MJN|Catheter, Intravascular Occluding, Temporary
00842429103401|DQY|Catheter, percutaneous
00842429103401|MJN|Catheter, intravascular occluding, temporary
00842429103395|DQY|Catheter, percutaneous
00842429103395|MJN|Catheter, intravascular occluding, temporary
00842429103388|MJN|Catheter, intravascular occluding, temporary
00842429103388|DQY|Catheter, percutaneous
00842429106563|DQY|Catheter, percutaneous
00842429106563|MJN|Catheter, intravascular occluding, temporary
00842429103418|DQY|Catheter, percutaneous
00842429103418|MJN|Catheter, intravascular occluding, temporary
00857545008028|DQY|Catheter, Percutaneous
00857545008028|MJN|Catheter, Intravascular Occluding, Temporary
00853892004447|DQY|Catheter, Percutaneous
00853892004447|MJN|Catheter, Intravascular Occluding, Temporary
00853892004089|DQY|Catheter, Percutaneous
00853892004089|MJN|Catheter, Intravascular Occluding, Temporary
00853892004072|DQY|Catheter, Percutaneous
00853892004072|MJN|Catheter, Intravascular Occluding, Temporary
00853892004010|DQY|Catheter, Percutaneous
00853892004010|MJN|Catheter, Intravascular Occluding, Temporary
00853892004003|DQY|Catheter, Percutaneous
00853892004003|MJN|Catheter, Intravascular Occluding, Temporary
00857545008011|DQY|Catheter, Percutaneous
00857545008011|MJN|Catheter, Intravascular Occluding, Temporary
00863092000118|DQO|Catheter, Intravascular, Diagnostic
00863092000118|DQY|Catheter, Percutaneous
00863092000118|MJN|Catheter, Intravascular Occluding, Temporary
00850001105064|DQO|Catheter, Intravascular, Diagnostic
00850001105064|DQY|Catheter, Percutaneous
00850001105064|MJN|Catheter, Intravascular Occluding, Temporary
00850001105057|DQO|Catheter, Intravascular, Diagnostic
00850001105057|DQY|Catheter, Percutaneous
00850001105057|MJN|Catheter, Intravascular Occluding, Temporary
