PrimaryDI|publicDeviceRecordKey|publicVersionStatus|deviceRecordStatus|publicVersionNumber|publicVersionDate|devicePublishDate|deviceCommDistributionEndDate|deviceCommDistributionStatus|brandName|versionModelNumber|catalogNumber|dunsNumber|companyName|deviceCount|deviceDescription|DMExempt|premarketExempt|deviceHCTP|deviceKit|deviceCombinationProduct|singleUse|lotBatch|serialNumber|manufacturingDate|expirationDate|donationIdNumber|labeledContainsNRL|labeledNoNRL|MRISafetyStatus|rx|otc|deviceSterile|sterilizationPriorToUse
M781DFH80115801|0b88ca91-a80f-40ce-a263-a8f766576215|Update|Published|3|2019-03-21|2016-09-19||In Commercial Distribution|TwinFlo™ Catheter |DFH80-115/80||138648154|Thermopeutix, Inc.|1|The TwinFlo™ Catheter consists of a two concentric tubular shafts (inflow and outflow lumens, IFL and OFL) that can infuse diagnostic and therapeutic agents to selected regions, as well as direct arterial blood or other solutions to a specific region or organ.  The lumens may be accessed using external devices connected to these lumens.  There are two additional smaller lumens; one lumen is used for inflation of the distal balloon on the inflow lumen while the second small lumen permits pressure monitoring distal to the balloon.  Inflation of the balloon isolates the region distal to the balloon permitting infusion into the vascular region of interest.  When used to provide perfusion or control blood flow, blood exits via the outflow lumen to an extracorporeal circuit and is returned via the inflow lumen distal to the inflated balloon.  The catheter is supplied with heparin in the hydrophilic coating.||||||true|true||true|true||||Labeling does not contain MRI Safety Information|true||true|
M781DFH60115901|4cc16a06-1a6e-4f94-ad8e-5b6443b1bf26|Update|Published|3|2019-03-21|2016-09-19||In Commercial Distribution|TwinFlo™ Catheter |DFH60-115/90||138648154|Thermopeutix, Inc.|1|The TwinFlo™ Catheter consists of a two concentric tubular shafts (inflow and outflow lumens, IFL and OFL) that can infuse diagnostic and therapeutic agents to selected regions, as well as direct arterial blood or other solutions to a specific region or organ.  The lumens may be accessed using external devices connected to these lumens.  There are two additional smaller lumens; one lumen is used for inflation of the distal balloon on the inflow lumen while the second small lumen permits pressure monitoring distal to the balloon.  Inflation of the balloon isolates the region distal to the balloon permitting infusion into the vascular region of interest.  When used to provide perfusion or control blood flow, blood exits via the outflow lumen to an extracorporeal circuit and is returned via the inflow lumen distal to the inflated balloon.  The catheter is supplied with heparin in the hydrophilic coating.||||||true|true||true|true||||Labeling does not contain MRI Safety Information|true||true|
M781DFH60115801|70860bc5-300d-4e62-9be9-d876f032abef|Update|Published|3|2019-03-21|2016-09-19||In Commercial Distribution|TwinFlo™ Catheter |DFH60-115/80||138648154|Thermopeutix, Inc.|1|The TwinFlo™ Catheter consists of a two concentric tubular shafts (inflow and outflow lumens, IFL and OFL) that can infuse diagnostic and therapeutic agents to selected regions, as well as direct arterial blood or other solutions to a specific region or organ.  The lumens may be accessed using external devices connected to these lumens.  There are two additional smaller lumens; one lumen is used for inflation of the distal balloon on the inflow lumen while the second small lumen permits pressure monitoring distal to the balloon.  Inflation of the balloon isolates the region distal to the balloon permitting infusion into the vascular region of interest.  When used to provide perfusion or control blood flow, blood exits via the outflow lumen to an extracorporeal circuit and is returned via the inflow lumen distal to the inflated balloon.  The catheter is supplied with heparin in the hydrophilic coating.||||||true|true||true|true||||Labeling does not contain MRI Safety Information|true||true|
M781DFH10135901|dc33aed2-19f9-4d43-864f-526513eab0fb|Update|Published|3|2019-03-21|2016-09-19||In Commercial Distribution|TwinFlo™ Catheter |DFH10-135/90||138648154|Thermopeutix, Inc.|1|The TwinFlo™ Catheter consists of a two concentric tubular shafts (inflow and outflow lumens, IFL and OFL) that can infuse diagnostic and therapeutic agents to selected regions, as well as direct arterial blood or other solutions to a specific region or organ.  The lumens may be accessed using external devices connected to these lumens.  There are two additional smaller lumens; one lumen is used for inflation of the distal balloon on the inflow lumen while the second small lumen permits pressure monitoring distal to the balloon.  Inflation of the balloon isolates the region distal to the balloon permitting infusion into the vascular region of interest.  When used to provide perfusion or control blood flow, blood exits via the outflow lumen to an extracorporeal circuit and is returned via the inflow lumen distal to the inflated balloon.  The catheter is supplied with heparin in the hydrophilic coating.||||||true|true||true|true||||Labeling does not contain MRI Safety Information|true||true|
M781DFH10115901|478711aa-c793-4864-a02e-d30050a9aa59|Update|Published|3|2019-03-21|2016-09-19||In Commercial Distribution|TwinFlo™ Catheter |DFH10-115/90||138648154|Thermopeutix, Inc.|1|The TwinFlo™ Catheter consists of a two concentric tubular shafts (inflow and outflow lumens, IFL and OFL) that can infuse diagnostic and therapeutic agents to selected regions, as well as direct arterial blood or other solutions to a specific region or organ.  The lumens may be accessed using external devices connected to these lumens.  There are two additional smaller lumens; one lumen is used for inflation of the distal balloon on the inflow lumen while the second small lumen permits pressure monitoring distal to the balloon.  Inflation of the balloon isolates the region distal to the balloon permitting infusion into the vascular region of interest.  When used to provide perfusion or control blood flow, blood exits via the outflow lumen to an extracorporeal circuit and is returned via the inflow lumen distal to the inflated balloon.  The catheter is supplied with heparin in the hydrophilic coating.||||||true|true||true|true||||Labeling does not contain MRI Safety Information|true||true|
M781DFH10115801|94f734bc-76c4-4ed1-925e-e9e1c000ca48|Update|Published|3|2019-03-21|2016-09-19||In Commercial Distribution|TwinFlo™ Catheter |DFH10-115/80||138648154|Thermopeutix, Inc.|1|The TwinFlo™ Catheter consists of a two concentric tubular shafts (inflow and outflow lumens, IFL and OFL) that can infuse diagnostic and therapeutic agents to selected regions, as well as direct arterial blood or other solutions to a specific region or organ.  The lumens may be accessed using external devices connected to these lumens.  There are two additional smaller lumens; one lumen is used for inflation of the distal balloon on the inflow lumen while the second small lumen permits pressure monitoring distal to the balloon.  Inflation of the balloon isolates the region distal to the balloon permitting infusion into the vascular region of interest.  When used to provide perfusion or control blood flow, blood exits via the outflow lumen to an extracorporeal circuit and is returned via the inflow lumen distal to the inflated balloon.  The catheter is supplied with heparin in the hydrophilic coating.||||||true|true||true|true||||Labeling does not contain MRI Safety Information|true||true|
M781DF80115801|bc5e43d2-42fc-4993-b86f-33a0fd17dc25|Update|Published|3|2019-03-21|2016-09-19||In Commercial Distribution|TwinFlo™ Catheter|DF80-115/80||138648154|Thermopeutix, Inc.|1|The TwinFlo™ Catheter consists of a two concentric tubular shafts (inflow and outflow lumens, IFL and OFL) that can infuse diagnostic and therapeutic agents to selected regions, as well as direct arterial blood or other solutions to a specific region or organ.  The lumens may be accessed using external devices connected to these lumens.  There are two additional smaller lumens; one lumen is used for inflation of the distal balloon on the inflow lumen while the second small lumen permits pressure monitoring distal to the balloon.  Inflation of the balloon isolates the region distal to the balloon permitting infusion into the vascular region of interest.  When used to provide perfusion or control blood flow, blood exits via the outflow lumen to an extracorporeal circuit and is returned via the inflow lumen distal to the inflated balloon.  The catheter is supplied with hydrophilic coating.||||||true|true||true|true||||Labeling does not contain MRI Safety Information|true||true|
M781DF60115801|72d17465-4c6b-4798-a47d-1ddd5cc7634b|Update|Published|3|2019-03-21|2016-09-19||In Commercial Distribution|TwinFlo™ Catheter|DF60-115/80||138648154|Thermopeutix, Inc.|1|The TwinFlo™ Catheter consists of a two concentric tubular shafts (inflow and outflow lumens, IFL and OFL) that can infuse diagnostic and therapeutic agents to selected regions, as well as direct arterial blood or other solutions to a specific region or organ.  The lumens may be accessed using external devices connected to these lumens.  There are two additional smaller lumens; one lumen is used for inflation of the distal balloon on the inflow lumen while the second small lumen permits pressure monitoring distal to the balloon.  Inflation of the balloon isolates the region distal to the balloon permitting infusion into the vascular region of interest.  When used to provide perfusion or control blood flow, blood exits via the outflow lumen to an extracorporeal circuit and is returned via the inflow lumen distal to the inflated balloon.  The catheter is supplied with hydrophilic coating.||||||true|true||true|true||||Labeling does not contain MRI Safety Information|true||true|
M781DF45115801|8ea4df19-684c-474c-8ff9-edea28acba2e|Update|Published|3|2019-03-21|2016-09-19||In Commercial Distribution|TwinFlo™ Catheter|DF45-115/80||138648154|Thermopeutix, Inc.|1|The TwinFlo™ Catheter consists of a two concentric tubular shafts (inflow and outflow lumens, IFL and OFL) that can infuse diagnostic and therapeutic agents to selected regions, as well as direct arterial blood or other solutions to a specific region or organ.  The lumens may be accessed using external devices connected to these lumens.  There are two additional smaller lumens; one lumen is used for inflation of the distal balloon on the inflow lumen while the second small lumen permits pressure monitoring distal to the balloon.  Inflation of the balloon isolates the region distal to the balloon permitting infusion into the vascular region of interest.  When used to provide perfusion or control blood flow, blood exits via the outflow lumen to an extracorporeal circuit and is returned via the inflow lumen distal to the inflated balloon.  The catheter is supplied with hydrophilic coating.||||||true|true||true|true||||Labeling does not contain MRI Safety Information|true||true|
M781DF10135901|ef8f4345-0c41-43a5-b4db-f30878854c55|Update|Published|3|2019-03-21|2016-09-19||In Commercial Distribution|TwinFlo™ Catheter|DF10-135/90||138648154|Thermopeutix, Inc.|1|The TwinFlo™ Catheter consists of a two concentric tubular shafts (inflow and outflow lumens, IFL and OFL) that can infuse diagnostic and therapeutic agents to selected regions, as well as direct arterial blood or other solutions to a specific region or organ.  The lumens may be accessed using external devices connected to these lumens.  There are two additional smaller lumens; one lumen is used for inflation of the distal balloon on the inflow lumen while the second small lumen permits pressure monitoring distal to the balloon.  Inflation of the balloon isolates the region distal to the balloon permitting infusion into the vascular region of interest.  When used to provide perfusion or control blood flow, blood exits via the outflow lumen to an extracorporeal circuit and is returned via the inflow lumen distal to the inflated balloon.  The catheter is supplied with hydrophilic coating.||||||true|true||true|true||||Labeling does not contain MRI Safety Information|true||true|
M781DF10115801|a6491e2f-6e05-49f7-8368-985c9b2a037a|Update|Published|3|2019-03-21|2016-09-19||In Commercial Distribution|TwinFlo™ Catheter |DF10-115/80||138648154|Thermopeutix, Inc.|1|The TwinFlo™ Catheter consists of a two concentric tubular shafts (inflow and outflow lumens, IFL and OFL) that can infuse diagnostic and therapeutic agents to selected regions, as well as direct arterial blood or other solutions to a specific region or organ.  The lumens may be accessed using external devices connected to these lumens.  There are two additional smaller lumens; one lumen is used for inflation of the distal balloon on the inflow lumen while the second small lumen permits pressure monitoring distal to the balloon.  Inflation of the balloon isolates the region distal to the balloon permitting infusion into the vascular region of interest.  When used to provide perfusion or control blood flow, blood exits via the outflow lumen to an extracorporeal circuit and is returned via the inflow lumen distal to the inflated balloon.  The catheter is supplied with hydrophilic coating.||||||true|true||true|true||||Labeling does not contain MRI Safety Information|true||true|
M7819680801|0cfa6e83-4ff8-4e00-bf39-b603afb465e6|Update|Published|4|2019-03-21|2016-09-19||In Commercial Distribution|TAPAS® Catheter|96-8080||138648154|Thermopeutix, Inc.|1|The TAPAS® Catheter consists of a two concentric tubular shafts (proximal occlusion balloon and distal occlusion balloon, POB and DOB, respectively) and is used to infuse diagnostic and therapeutic agents to selected regions, as well as direct arterial blood or other solutions to a specific region or organ.  The proximal infusion lumen (Red) may be accessed using external devices connected to this lumen. There are three additional smaller lumens: one lumen is used for inflation of the balloon on the DOB; one lumen is used for inflation of the balloon on the POB; and one lumen permits pressure monitoring (Yellow) distal to the proximal occlusion balloon. The simultaneous inflation of the balloons may isolate a target region within a vessel and allow the infusion of a fluid agent into the vascular region of interest.  The catheter is supplied with hydrophilic coating.||||||true|true||true|true||||Labeling does not contain MRI Safety Information|true||true|
M7819660601|c327ba21-cb05-4bbd-9f08-2de5aebceb4b|Update|Published|4|2019-03-21|2016-09-19||In Commercial Distribution|TAPAS® Catheter|96-6060||138648154|Thermopeutix, Inc.|1|The TAPAS® Catheter consists of a two concentric tubular shafts (proximal occlusion balloon and distal occlusion balloon, POB and DOB, respectively) and is used to infuse diagnostic and therapeutic agents to selected regions, as well as direct arterial blood or other solutions to a specific region or organ.  The proximal infusion lumen (Red) may be accessed using external devices connected to this lumen. There are three additional smaller lumens: one lumen is used for inflation of the balloon on the DOB; one lumen is used for inflation of the balloon on the POB; and one lumen permits pressure monitoring (Yellow) distal to the proximal occlusion balloon. The simultaneous inflation of the balloons may isolate a target region within a vessel and allow the infusion of a fluid agent into the vascular region of interest.  The catheter is supplied with hydrophilic coating.||||||true|true||true|true||||Labeling does not contain MRI Safety Information|true||true|
M7819645251|0e029638-6afe-4e44-999c-91161b3d7d56|Update|Published|4|2019-03-21|2016-09-19||In Commercial Distribution|TAPAS® Catheter|96-4525||138648154|Thermopeutix, Inc.|1|The TAPAS® Catheter consists of a two concentric tubular shafts (proximal occlusion balloon and distal occlusion balloon, POB and DOB, respectively) and is used to infuse diagnostic and therapeutic agents to selected regions, as well as direct arterial blood or other solutions to a specific region or organ.  The proximal infusion lumen (Red) may be accessed using external devices connected to this lumen. There are three additional smaller lumens: one lumen is used for inflation of the balloon on the DOB; one lumen is used for inflation of the balloon on the POB; and one lumen permits pressure monitoring (Yellow) distal to the proximal occlusion balloon. The simultaneous inflation of the balloons may isolate a target region within a vessel and allow the infusion of a fluid agent into the vascular region of interest.  The catheter is supplied with hydrophilic coating.||||||true|true||true|true||||Labeling does not contain MRI Safety Information|true||true|
M7819610101|f23a2243-c2e3-4a7c-8e9c-b81b988d15af|Update|Published|4|2019-03-21|2016-09-19||In Commercial Distribution|TAPAS® Catheter|96-1010||138648154|Thermopeutix, Inc.|1|The TAPAS® Catheter consists of a two concentric tubular shafts (proximal occlusion balloon and distal occlusion balloon, POB and DOB, respectively) and is used to infuse diagnostic and therapeutic agents to selected regions, as well as direct arterial blood or other solutions to a specific region or organ.  The proximal infusion lumen (Red) may be accessed using external devices connected to this lumen. There are three additional smaller lumens: one lumen is used for inflation of the balloon on the DOB; one lumen is used for inflation of the balloon on the POB; and one lumen permits pressure monitoring (Yellow) distal to the proximal occlusion balloon. The simultaneous inflation of the balloons may isolate a target region within a vessel and allow the infusion of a fluid agent into the vascular region of interest.  The catheter is supplied with hydrophilic coating.||||||true|true||true|true||||Labeling does not contain MRI Safety Information|true||true|
M7819445451|9f1d9eec-3818-48a6-9745-a41142f04166|Update|Published|4|2019-03-21|2016-09-19||In Commercial Distribution|TAPAS® Catheter|94-4545||138648154|Thermopeutix, Inc.|1|The TAPAS® Catheter consists of a two concentric tubular shafts (proximal occlusion balloon and distal occlusion balloon, POB and DOB, respectively) and is used to infuse diagnostic and therapeutic agents to selected regions, as well as direct arterial blood or other solutions to a specific region or organ.  The proximal infusion lumen (Red) may be accessed using external devices connected to this lumen. There are three additional smaller lumens: one lumen is used for inflation of the balloon on the DOB; one lumen is used for inflation of the balloon on the POB; and one lumen permits pressure monitoring (Yellow) distal to the proximal occlusion balloon. The simultaneous inflation of the balloons may isolate a target region within a vessel and allow the infusion of a fluid agent into the vascular region of interest.  The catheter is supplied with hydrophilic coating.||||||true|true||true|true||||Labeling does not contain MRI Safety Information|true||true|
M7819280801|9e4ed7d2-2fb7-40be-b710-f5729d907bf2|Update|Published|4|2019-03-21|2016-09-19||In Commercial Distribution|TAPAS® Catheter|92-8080||138648154|Thermopeutix, Inc.|1|The TAPAS® Catheter consists of a two concentric tubular shafts (proximal occlusion balloon and distal occlusion balloon, POB and DOB, respectively) and is used to infuse diagnostic and therapeutic agents to selected regions, as well as direct arterial blood or other solutions to a specific region or organ.  The proximal infusion lumen (Red) may be accessed using external devices connected to this lumen. There are three additional smaller lumens: one lumen is used for inflation of the balloon on the DOB; one lumen is used for inflation of the balloon on the POB; and one lumen permits pressure monitoring (Yellow) distal to the proximal occlusion balloon. The simultaneous inflation of the balloons may isolate a target region within a vessel and allow the infusion of a fluid agent into the vascular region of interest.  The catheter is supplied with hydrophilic coating.||||||true|true||true|true||||Labeling does not contain MRI Safety Information|true||true|
M7819260601|3c163d91-2eb2-4014-897a-f31c6d690555|Update|Published|4|2019-03-21|2016-09-19||In Commercial Distribution|TAPAS® Catheter|92-6060||138648154|Thermopeutix, Inc.|1|The TAPAS® Catheter consists of a two concentric tubular shafts (proximal occlusion balloon and distal occlusion balloon, POB and DOB, respectively) and is used to infuse diagnostic and therapeutic agents to selected regions, as well as direct arterial blood or other solutions to a specific region or organ.  The proximal infusion lumen (Red) may be accessed using external devices connected to this lumen. There are three additional smaller lumens: one lumen is used for inflation of the balloon on the DOB; one lumen is used for inflation of the balloon on the POB; and one lumen permits pressure monitoring (Yellow) distal to the proximal occlusion balloon. The simultaneous inflation of the balloons may isolate a target region within a vessel and allow the infusion of a fluid agent into the vascular region of interest.  The catheter is supplied with hydrophilic coating.||||||true|true||true|true||||Labeling does not contain MRI Safety Information|true||true|
M7819260251|2d132fd5-2a87-4edf-8ee3-5b0d1c24cfe8|Update|Published|4|2019-03-21|2016-09-19||In Commercial Distribution|TAPAS® Catheter|92-6025||138648154|Thermopeutix, Inc.|1|The TAPAS® Catheter consists of a two concentric tubular shafts (proximal occlusion balloon and distal occlusion balloon, POB and DOB, respectively) and is used to infuse diagnostic and therapeutic agents to selected regions, as well as direct arterial blood or other solutions to a specific region or organ.  The proximal infusion lumen (Red) may be accessed using external devices connected to this lumen. There are three additional smaller lumens: one lumen is used for inflation of the balloon on the DOB; one lumen is used for inflation of the balloon on the POB; and one lumen permits pressure monitoring (Yellow) distal to the proximal occlusion balloon. The simultaneous inflation of the balloons may isolate a target region within a vessel and allow the infusion of a fluid agent into the vascular region of interest.  The catheter is supplied with hydrophilic coating.||||||true|true||true|true||||Labeling does not contain MRI Safety Information|true||true|
M7819245451|5bdaf57f-4609-4637-a770-767cce21436c|Update|Published|4|2019-03-21|2016-09-19||In Commercial Distribution|TAPAS® Catheter|92-4545||138648154|Thermopeutix, Inc.|1|The TAPAS® Catheter consists of a two concentric tubular shafts (proximal occlusion balloon and distal occlusion balloon, POB and DOB, respectively) and is used to infuse diagnostic and therapeutic agents to selected regions, as well as direct arterial blood or other solutions to a specific region or organ.  The proximal infusion lumen (Red) may be accessed using external devices connected to this lumen. There are three additional smaller lumens: one lumen is used for inflation of the balloon on the DOB; one lumen is used for inflation of the balloon on the POB; and one lumen permits pressure monitoring (Yellow) distal to the proximal occlusion balloon. The simultaneous inflation of the balloons may isolate a target region within a vessel and allow the infusion of a fluid agent into the vascular region of interest.  The catheter is supplied with hydrophilic coating.||||||true|true||true|true||||Labeling does not contain MRI Safety Information|true||true|
M7819245251|6202f1a3-697e-4358-a177-0e48bc8eef47|Update|Published|4|2019-03-21|2016-09-19||In Commercial Distribution|TAPAS® Catheter|92-4525||138648154|Thermopeutix, Inc.|1|The TAPAS® Catheter consists of a two concentric tubular shafts (proximal occlusion balloon and distal occlusion balloon, POB and DOB, respectively) and is used to infuse diagnostic and therapeutic agents to selected regions, as well as direct arterial blood or other solutions to a specific region or organ.  The proximal infusion lumen (Red) may be accessed using external devices connected to this lumen. There are three additional smaller lumens: one lumen is used for inflation of the balloon on the DOB; one lumen is used for inflation of the balloon on the POB; and one lumen permits pressure monitoring (Yellow) distal to the proximal occlusion balloon. The simultaneous inflation of the balloons may isolate a target region within a vessel and allow the infusion of a fluid agent into the vascular region of interest.  The catheter is supplied with hydrophilic coating.||||||true|true||true|true||||Labeling does not contain MRI Safety Information|true||true|
M7819210101|863925e0-9ceb-41db-8766-bbbd5566e176|Update|Published|4|2019-03-21|2016-09-19||In Commercial Distribution|TAPAS® Catheter|92-1010||138648154|Thermopeutix, Inc.|1|The TAPAS® Catheter consists of a two concentric tubular shafts (proximal occlusion balloon and distal occlusion balloon, POB and DOB, respectively) and is used to infuse diagnostic and therapeutic agents to selected regions, as well as direct arterial blood or other solutions to a specific region or organ.  The proximal infusion lumen (Red) may be accessed using external devices connected to this lumen. There are three additional smaller lumens: one lumen is used for inflation of the balloon on the DOB; one lumen is used for inflation of the balloon on the POB; and one lumen permits pressure monitoring (Yellow) distal to the proximal occlusion balloon. The simultaneous inflation of the balloons may isolate a target region within a vessel and allow the infusion of a fluid agent into the vascular region of interest.  The catheter is supplied with hydrophilic coating.||||||true|true||true|true||||Labeling does not contain MRI Safety Information|true||true|
M7819180801|61b0eb4d-4b44-4072-818b-3dc87f444dd5|Update|Published|4|2019-03-21|2016-09-19||In Commercial Distribution|TAPAS® Catheter|91-8080||138648154|Thermopeutix, Inc.|1|The TAPAS® Catheter consists of a two concentric tubular shafts (proximal occlusion balloon and distal occlusion balloon, POB and DOB, respectively) and is used to infuse diagnostic and therapeutic agents to selected regions, as well as direct arterial blood or other solutions to a specific region or organ.  The proximal infusion lumen (Red) may be accessed using external devices connected to this lumen. There are three additional smaller lumens: one lumen is used for inflation of the balloon on the DOB; one lumen is used for inflation of the balloon on the POB; and one lumen permits pressure monitoring (Yellow) distal to the proximal occlusion balloon. The simultaneous inflation of the balloons may isolate a target region within a vessel and allow the infusion of a fluid agent into the vascular region of interest.  The catheter is supplied with heparin in the hydrophilic coating.||||||true|true||true|true||||Labeling does not contain MRI Safety Information|true||true|
M7819180601|18032c99-8d22-4498-8d7a-992ed57666c2|Update|Published|4|2019-03-21|2016-09-19||In Commercial Distribution|TAPAS® Catheter|91-8060||138648154|Thermopeutix, Inc.|1|The TAPAS® Catheter consists of a two concentric tubular shafts (proximal occlusion balloon and distal occlusion balloon, POB and DOB, respectively) and is used to infuse diagnostic and therapeutic agents to selected regions, as well as direct arterial blood or other solutions to a specific region or organ.  The proximal infusion lumen (Red) may be accessed using external devices connected to this lumen. There are three additional smaller lumens: one lumen is used for inflation of the balloon on the DOB; one lumen is used for inflation of the balloon on the POB; and one lumen permits pressure monitoring (Yellow) distal to the proximal occlusion balloon. The simultaneous inflation of the balloons may isolate a target region within a vessel and allow the infusion of a fluid agent into the vascular region of interest.  The catheter is supplied with heparin in the hydrophilic coating.||||||true|true||true|true||||Labeling does not contain MRI Safety Information|true||true|
